"export-plot data (NetLogo 6.3.0)"
"GutLogo.nlogo.txt"
"10/14/2023 15:01:07:982 -0500"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","inconcclosts","tickinflow","seedpercent","absorption","plots-on?","bifido-lactate-production","initnumbifidos","inflowlactose","initnumbacteroides","inflowinulin","maxstuckchance","inflowglucose"
"10","921","100","25","100","0","10","1","100","5","70","0","0","0","0","0.28","0.1","0","2","100","0","480","5","0","true","0.005","23562","15","5490","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3430","0","38300","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","3009"
"""Bifidos""","true","0","1","105","3009"
"""Desulfos""","true","0","1","55","3009"
"""Bacteroides""","true","0","1","5","3009"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","924","15","true","1","23790","105","true","1","69","55","true","1","5535","5","true"
"2","931","15","true","2","24023","105","true","2","70","55","true","2","5589","5","true"
"3","939","15","true","3","24224","105","true","3","71","55","true","3","5626","5","true"
"4","949","15","true","4","24425","105","true","4","71","55","true","4","5694","5","true"
"5","955","15","true","5","24651","105","true","5","71","55","true","5","5744","5","true"
"6","963","15","true","6","24870","105","true","6","72","55","true","6","5800","5","true"
"7","974","15","true","7","25045","105","true","7","72","55","true","7","5861","5","true"
"8","985","15","true","8","25231","105","true","8","72","55","true","8","5912","5","true"
"9","992","15","true","9","25418","105","true","9","74","55","true","9","5963","5","true"
"10","1000","15","true","10","25621","105","true","10","76","55","true","10","6012","5","true"
"11","1008","15","true","11","25805","105","true","11","77","55","true","11","6047","5","true"
"12","1018","15","true","12","25985","105","true","12","78","55","true","12","6083","5","true"
"13","1027","15","true","13","26163","105","true","13","77","55","true","13","6134","5","true"
"14","1033","15","true","14","26334","105","true","14","77","55","true","14","6169","5","true"
"15","1037","15","true","15","26541","105","true","15","76","55","true","15","6216","5","true"
"16","1038","15","true","16","26711","105","true","16","77","55","true","16","6256","5","true"
"17","1044","15","true","17","26891","105","true","17","77","55","true","17","6303","5","true"
"18","1050","15","true","18","27071","105","true","18","78","55","true","18","6345","5","true"
"19","1052","15","true","19","27252","105","true","19","79","55","true","19","6385","5","true"
"20","1060","15","true","20","27416","105","true","20","79","55","true","20","6427","5","true"
"21","1065","15","true","21","27584","105","true","21","79","55","true","21","6475","5","true"
"22","1074","15","true","22","27756","105","true","22","79","55","true","22","6521","5","true"
"23","1085","15","true","23","27930","105","true","23","80","55","true","23","6592","5","true"
"24","1096","15","true","24","28110","105","true","24","82","55","true","24","6635","5","true"
