"export-plot data (NetLogo 6.3.0)"
"GutLogo.nlogo.txt"
"10/14/2023 14:51:26:642 -0500"

"MODEL SETTINGS"
"initnumclosts","midstuckconc","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","inconcclosts","tickinflow","seedpercent","absorption","plots-on?","bifido-lactate-production","initnumbifidos","inflowlactose","initnumbacteroides","inflowinulin","maxstuckchance","inflowglucose"
"5490","10","330","25","330","0","10","1","330","5","5490","0","0","0","0","0.28","0.1","0","2","330","0","480","5","0","true","5.0E-4","5490","15","5490","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","3430","0","8870","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","3047"
"""Bifidos""","true","0","1","105","3047"
"""Desulfos""","true","0","1","55","3047"
"""Bacteroides""","true","0","1","5","3047"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","5489","15","true","0","5489","105","true","0","5489","55","true","0","5489","5","true"
"1","5510","15","true","1","5503","105","true","1","5511","55","true","1","5508","5","true"
"2","5528","15","true","2","5518","105","true","2","5522","55","true","2","5521","5","true"
"3","5549","15","true","3","5532","105","true","3","5532","55","true","3","5533","5","true"
"4","5564","15","true","4","5541","105","true","4","5542","55","true","4","5544","5","true"
"5","5577","15","true","5","5553","105","true","5","5550","55","true","5","5562","5","true"
"6","5587","15","true","6","5564","105","true","6","5568","55","true","6","5564","5","true"
"7","5597","15","true","7","5581","105","true","7","5586","55","true","7","5571","5","true"
"8","5602","15","true","8","5593","105","true","8","5594","55","true","8","5583","5","true"
"9","5614","15","true","9","5604","105","true","9","5597","55","true","9","5585","5","true"
"10","5620","15","true","10","5612","105","true","10","5600","55","true","10","5592","5","true"
"11","5626","15","true","11","5619","105","true","11","5612","55","true","11","5597","5","true"
"12","5629","15","true","12","5633","105","true","12","5624","55","true","12","5608","5","true"
"13","5630","15","true","13","5641","105","true","13","5631","55","true","13","5619","5","true"
"14","5643","15","true","14","5642","105","true","14","5642","55","true","14","5626","5","true"
"15","5651","15","true","15","5649","105","true","15","5652","55","true","15","5632","5","true"
