"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"01/13/2025 13:34:00:885 -0600"

"MODEL SETTINGS"
"initnumclosts","midstuckconc","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","inconcclosts","tickinflow","seedpercent","absorption","plots-on?","bifido-lactate-production","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"921","0","330","25","330","0","0","1","330","50","70","0","0","0","0","0.28","0.1","0","0","330","0","480","5","0","true","0.005","23562","5490","15","10","0","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","38000","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1026"
"""Bifidos""","true","0","1","105","1026"
"""Desulfos""","true","0","1","55","1026"
"""Bacteroides""","true","0","1","5","1026"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","921","15","true","1","23639","105","true","1","70","55","true","1","5506","5","true"
"2","924","15","true","2","23711","105","true","2","71","55","true","2","5519","5","true"
"3","928","15","true","3","23807","105","true","3","71","55","true","3","5534","5","true"
"4","931","15","true","4","23869","105","true","4","71","55","true","4","5546","5","true"
"5","936","15","true","5","23930","105","true","5","71","55","true","5","5565","5","true"
"6","941","15","true","6","24003","105","true","6","72","55","true","6","5584","5","true"
"7","944","15","true","7","24072","105","true","7","72","55","true","7","5595","5","true"
"8","949","15","true","8","24136","105","true","8","74","55","true","8","5610","5","true"
"9","950","15","true","9","24212","105","true","9","74","55","true","9","5632","5","true"
"10","957","15","true","10","24276","105","true","10","74","55","true","10","5646","5","true"
"11","960","15","true","11","24337","105","true","11","74","55","true","11","5661","5","true"
"12","960","15","true","12","24404","105","true","12","74","55","true","12","5679","5","true"
"13","961","15","true","13","24463","105","true","13","74","55","true","13","5696","5","true"
"14","964","15","true","14","24535","105","true","14","74","55","true","14","5713","5","true"
"15","969","15","true","15","24592","105","true","15","74","55","true","15","5725","5","true"
"16","976","15","true","16","24661","105","true","16","74","55","true","16","5744","5","true"
"17","980","15","true","17","24734","105","true","17","74","55","true","17","5768","5","true"
"18","981","15","true","18","24807","105","true","18","74","55","true","18","5786","5","true"
"19","984","15","true","19","24869","105","true","19","74","55","true","19","5802","5","true"
"20","993","15","true","20","24927","105","true","20","75","55","true","20","5820","5","true"
"21","997","15","true","21","25010","105","true","21","76","55","true","21","5834","5","true"
"22","1001","15","true","22","25084","105","true","22","77","55","true","22","5857","5","true"
"23","1002","15","true","23","25143","105","true","23","77","55","true","23","5869","5","true"
"24","1006","15","true","24","25221","105","true","24","78","55","true","24","5878","5","true"
"25","1010","15","true","25","25292","105","true","25","78","55","true","25","5890","5","true"
"26","1012","15","true","26","25356","105","true","26","77","55","true","26","5909","5","true"
"27","1014","15","true","27","25440","105","true","27","77","55","true","27","5922","5","true"
"28","1017","15","true","28","25504","105","true","28","77","55","true","28","5933","5","true"
"29","1020","15","true","29","25581","105","true","29","77","55","true","29","5941","5","true"
"30","1022","15","true","30","25650","105","true","30","77","55","true","30","5954","5","true"
"31","1024","15","true","31","25721","105","true","31","77","55","true","31","5961","5","true"
"32","1024","15","true","32","25766","105","true","32","77","55","true","32","5972","5","true"
"33","1026","15","true","33","25832","105","true","33","78","55","true","33","5982","5","true"
"34","1031","15","true","34","25881","105","true","34","79","55","true","34","5998","5","true"
"35","1030","15","true","35","25940","105","true","35","79","55","true","35","6016","5","true"
"36","1033","15","true","36","26010","105","true","36","79","55","true","36","6030","5","true"
"37","1038","15","true","37","26065","105","true","37","79","55","true","37","6052","5","true"
"38","1041","15","true","38","26119","105","true","38","79","55","true","38","6070","5","true"
"39","1045","15","true","39","26173","105","true","39","80","55","true","39","6089","5","true"
"40","1046","15","true","40","26232","105","true","40","80","55","true","40","6107","5","true"
"41","1051","15","true","41","26304","105","true","41","80","55","true","41","6119","5","true"
"42","1054","15","true","42","26367","105","true","42","80","55","true","42","6130","5","true"
"43","1055","15","true","43","26423","105","true","43","80","55","true","43","6147","5","true"
"44","1059","15","true","44","26481","105","true","44","80","55","true","44","6167","5","true"
"45","1057","15","true","45","26547","105","true","45","80","55","true","45","6178","5","true"
"46","1058","15","true","46","26614","105","true","46","80","55","true","46","6190","5","true"
"47","1063","15","true","47","26685","105","true","47","81","55","true","47","6208","5","true"
"48","1062","15","true","48","26754","105","true","48","81","55","true","48","6225","5","true"
"49","1065","15","true","49","26815","105","true","49","81","55","true","49","6243","5","true"
"50","1068","15","true","50","26874","105","true","50","81","55","true","50","6255","5","true"
"51","1070","15","true","51","26946","105","true","51","81","55","true","51","6272","5","true"
"52","1073","15","true","52","27020","105","true","52","81","55","true","52","6277","5","true"
"53","1075","15","true","53","27074","105","true","53","81","55","true","53","6288","5","true"
"54","1079","15","true","54","27124","105","true","54","81","55","true","54","6302","5","true"
"55","1083","15","true","55","27189","105","true","55","81","55","true","55","6326","5","true"
