"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"10/30/2024 13:54:03:989 -0500"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","tickinflow","seedpercent","inconcclosts","bifido-lactate-production","absorption","plots-on?","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","100","0","0","0","0.28","0.1","0","2","330","480","0","0","0.005","100","true","23562","5490","15","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","25900","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1009"
"""Bifidos""","true","0","1","105","1009"
"""Desulfos""","true","0","1","55","1009"
"""Bacteroides""","true","0","1","5","1009"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","921","15","true","0","23562","105","true","0","70","55","true","0","5490","5","true"
"1","922","15","true","1","23640","105","true","1","71","55","true","1","5496","5","true"
"2","925","15","true","2","23705","105","true","2","71","55","true","2","5518","5","true"
"3","927","15","true","3","23758","105","true","3","71","55","true","3","5532","5","true"
"4","928","15","true","4","23808","105","true","4","71","55","true","4","5539","5","true"
"5","929","15","true","5","23846","105","true","5","71","55","true","5","5545","5","true"
"6","930","15","true","6","23895","105","true","6","71","55","true","6","5548","5","true"
"7","932","15","true","7","23947","105","true","7","71","55","true","7","5553","5","true"
"8","934","15","true","8","23988","105","true","8","72","55","true","8","5572","5","true"
"9","935","15","true","9","24029","105","true","9","73","55","true","9","5583","5","true"
"10","938","15","true","10","24045","105","true","10","75","55","true","10","5595","5","true"
"11","941","15","true","11","24074","105","true","11","75","55","true","11","5603","5","true"
"12","940","15","true","12","24106","105","true","12","75","55","true","12","5607","5","true"
"13","939","15","true","13","24118","105","true","13","75","55","true","13","5612","5","true"
"14","944","15","true","14","24157","105","true","14","75","55","true","14","5616","5","true"
"15","942","15","true","15","24173","105","true","15","75","55","true","15","5621","5","true"
"16","944","15","true","16","24210","105","true","16","76","55","true","16","5628","5","true"
"17","945","15","true","17","24223","105","true","17","76","55","true","17","5636","5","true"
"18","946","15","true","18","24244","105","true","18","75","55","true","18","5648","5","true"
"19","944","15","true","19","24274","105","true","19","75","55","true","19","5648","5","true"
"20","944","15","true","20","24297","105","true","20","75","55","true","20","5653","5","true"
"21","944","15","true","21","24312","105","true","21","75","55","true","21","5657","5","true"
"22","942","15","true","22","24354","105","true","22","75","55","true","22","5666","5","true"
"23","941","15","true","23","24382","105","true","23","75","55","true","23","5672","5","true"
"24","941","15","true","24","24396","105","true","24","75","55","true","24","5672","5","true"
"25","948","15","true","25","24404","105","true","25","75","55","true","25","5682","5","true"
"26","948","15","true","26","24442","105","true","26","75","55","true","26","5685","5","true"
"27","946","15","true","27","24442","105","true","27","75","55","true","27","5688","5","true"
"28","950","15","true","28","24456","105","true","28","75","55","true","28","5690","5","true"
"29","951","15","true","29","24484","105","true","29","76","55","true","29","5712","5","true"
"30","951","15","true","30","24490","105","true","30","76","55","true","30","5713","5","true"
"31","954","15","true","31","24513","105","true","31","76","55","true","31","5719","5","true"
"32","953","15","true","32","24540","105","true","32","75","55","true","32","5721","5","true"
"33","956","15","true","33","24557","105","true","33","75","55","true","33","5722","5","true"
"34","956","15","true","34","24556","105","true","34","75","55","true","34","5727","5","true"
"35","957","15","true","35","24586","105","true","35","75","55","true","35","5729","5","true"
"36","957","15","true","36","24605","105","true","36","75","55","true","36","5734","5","true"
"37","958","15","true","37","24631","105","true","37","75","55","true","37","5745","5","true"
"38","957","15","true","38","24664","105","true","38","76","55","true","38","5745","5","true"
"39","959","15","true","39","24676","105","true","39","76","55","true","39","5757","5","true"
"40","956","15","true","40","24676","105","true","40","76","55","true","40","5767","5","true"
"41","955","15","true","41","24675","105","true","41","76","55","true","41","5775","5","true"
"42","951","15","true","42","24691","105","true","42","76","55","true","42","5778","5","true"
"43","952","15","true","43","24672","105","true","43","76","55","true","43","5778","5","true"
"44","956","15","true","44","24701","105","true","44","76","55","true","44","5778","5","true"
"45","957","15","true","45","24697","105","true","45","76","55","true","45","5785","5","true"
"46","956","15","true","46","24695","105","true","46","76","55","true","46","5793","5","true"
"47","954","15","true","47","24726","105","true","47","76","55","true","47","5798","5","true"
"48","951","15","true","48","24727","105","true","48","76","55","true","48","5803","5","true"
"49","952","15","true","49","24741","105","true","49","76","55","true","49","5809","5","true"
"50","953","15","true","50","24755","105","true","50","76","55","true","50","5807","5","true"
"51","953","15","true","51","24783","105","true","51","76","55","true","51","5818","5","true"
"52","953","15","true","52","24795","105","true","52","76","55","true","52","5819","5","true"
"53","953","15","true","53","24811","105","true","53","76","55","true","53","5808","5","true"
"54","951","15","true","54","24829","105","true","54","77","55","true","54","5806","5","true"
"55","952","15","true","55","24820","105","true","55","77","55","true","55","5813","5","true"
"56","953","15","true","56","24810","105","true","56","77","55","true","56","5811","5","true"
"57","954","15","true","57","24811","105","true","57","77","55","true","57","5812","5","true"
"58","955","15","true","58","24809","105","true","58","78","55","true","58","5800","5","true"
"59","954","15","true","59","24810","105","true","59","77","55","true","59","5804","5","true"
"60","953","15","true","60","24821","105","true","60","77","55","true","60","5817","5","true"
"61","953","15","true","61","24821","105","true","61","78","55","true","61","5828","5","true"
"62","952","15","true","62","24823","105","true","62","79","55","true","62","5826","5","true"
"63","951","15","true","63","24853","105","true","63","79","55","true","63","5829","5","true"
