+"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"10/30/2024 16:44:37:671 -0500"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","tickinflow","seedpercent","inconcclosts","bifido-lactate-production","absorption","plots-on?","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","75","0","0","0","0.28","0.1","0","2","330","480","50","0","0.005","100","true","23562","5490","15","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","28500","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1016"
"""Bifidos""","true","0","1","105","1016"
"""Desulfos""","true","0","1","55","1016"
"""Bacteroides""","true","0","1","5","1016"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23562","105","true","0","70","55","true","0","5490","5","true"
"1","921","15","true","1","23638","105","true","1","71","55","true","1","5502","5","true"
"2","923","15","true","2","23704","105","true","2","71","55","true","2","5517","5","true"
"3","924","15","true","3","23769","105","true","3","71","55","true","3","5528","5","true"
"4","926","15","true","4","23807","105","true","4","71","55","true","4","5545","5","true"
"5","928","15","true","5","23866","105","true","5","73","55","true","5","5556","5","true"
"6","932","15","true","6","23919","105","true","6","73","55","true","6","5569","5","true"
"7","932","15","true","7","23966","105","true","7","73","55","true","7","5582","5","true"
"8","935","15","true","8","24025","105","true","8","73","55","true","8","5596","5","true"
"9","935","15","true","9","24072","105","true","9","73","55","true","9","5610","5","true"
"10","939","15","true","10","24131","105","true","10","73","55","true","10","5616","5","true"
"11","939","15","true","11","24188","105","true","11","73","55","true","11","5627","5","true"
"12","942","15","true","12","24223","105","true","12","73","55","true","12","5637","5","true"
"13","946","15","true","13","24271","105","true","13","73","55","true","13","5649","5","true"
"14","948","15","true","14","24334","105","true","14","73","55","true","14","5662","5","true"
"15","950","15","true","15","24376","105","true","15","72","55","true","15","5671","5","true"
"16","952","15","true","16","24423","105","true","16","72","55","true","16","5691","5","true"
"17","958","15","true","17","24466","105","true","17","73","55","true","17","5696","5","true"
"18","960","15","true","18","24495","105","true","18","74","55","true","18","5707","5","true"
"19","962","15","true","19","24524","105","true","19","74","55","true","19","5717","5","true"
"20","965","15","true","20","24561","105","true","20","74","55","true","20","5729","5","true"
"21","967","15","true","21","24597","105","true","21","74","55","true","21","5736","5","true"
"22","974","15","true","22","24642","105","true","22","74","55","true","22","5754","5","true"
"23","977","15","true","23","24698","105","true","23","74","55","true","23","5763","5","true"
"24","976","15","true","24","24735","105","true","24","74","55","true","24","5776","5","true"
"25","980","15","true","25","24788","105","true","25","74","55","true","25","5789","5","true"
"26","983","15","true","26","24828","105","true","26","75","55","true","26","5793","5","true"
"27","984","15","true","27","24870","105","true","27","75","55","true","27","5797","5","true"
"28","990","15","true","28","24904","105","true","28","75","55","true","28","5803","5","true"
"29","992","15","true","29","24961","105","true","29","75","55","true","29","5815","5","true"
"30","995","15","true","30","25005","105","true","30","75","55","true","30","5825","5","true"
"31","1000","15","true","31","25052","105","true","31","75","55","true","31","5838","5","true"
"32","1003","15","true","32","25084","105","true","32","75","55","true","32","5841","5","true"
"33","1004","15","true","33","25131","105","true","33","74","55","true","33","5852","5","true"
"34","1006","15","true","34","25172","105","true","34","74","55","true","34","5863","5","true"
"35","1010","15","true","35","25220","105","true","35","74","55","true","35","5871","5","true"
"36","1013","15","true","36","25250","105","true","36","74","55","true","36","5877","5","true"
"37","1017","15","true","37","25293","105","true","37","75","55","true","37","5892","5","true"
"38","1015","15","true","38","25353","105","true","38","75","55","true","38","5899","5","true"
"39","1018","15","true","39","25390","105","true","39","75","55","true","39","5911","5","true"
"40","1017","15","true","40","25430","105","true","40","75","55","true","40","5911","5","true"
"41","1022","15","true","41","25475","105","true","41","75","55","true","41","5919","5","true"
"42","1025","15","true","42","25513","105","true","42","75","55","true","42","5929","5","true"
"43","1023","15","true","43","25562","105","true","43","75","55","true","43","5942","5","true"
"44","1024","15","true","44","25605","105","true","44","75","55","true","44","5953","5","true"
"45","1025","15","true","45","25620","105","true","45","75","55","true","45","5962","5","true"
"46","1027","15","true","46","25659","105","true","46","75","55","true","46","5962","5","true"
"47","1027","15","true","47","25691","105","true","47","75","55","true","47","5978","5","true"
"48","1027","15","true","48","25709","105","true","48","75","55","true","48","5989","5","true"
"49","1028","15","true","49","25735","105","true","49","75","55","true","49","5997","5","true"
"50","1030","15","true","50","25775","105","true","50","77","55","true","50","6005","5","true"
"51","1030","15","true","51","25814","105","true","51","79","55","true","51","6021","5","true"
"52","1035","15","true","52","25853","105","true","52","79","55","true","52","6022","5","true"
"53","1039","15","true","53","25898","105","true","53","80","55","true","53","6036","5","true"
"54","1045","15","true","54","25928","105","true","54","81","55","true","54","6055","5","true"
"55","1044","15","true","55","25956","105","true","55","80","55","true","55","6068","5","true"
"56","1047","15","true","56","26007","105","true","56","80","55","true","56","6079","5","true"
"57","1050","15","true","57","26043","105","true","57","80","55","true","57","6090","5","true"
"58","1052","15","true","58","26080","105","true","58","80","55","true","58","6091","5","true"
"59","1053","15","true","59","26114","105","true","59","80","55","true","59","6100","5","true"
"60","1051","15","true","60","26147","105","true","60","80","55","true","60","6109","5","true"
"61","1053","15","true","61","26169","105","true","61","80","55","true","61","6116","5","true"
"62","1056","15","true","62","26199","105","true","62","80","55","true","62","6127","5","true"
"63","1055","15","true","63","26231","105","true","63","80","55","true","63","6139","5","true"
"64","1054","15","true","64","26264","105","true","64","80","55","true","64","6149","5","true"
"65","1052","15","true","65","26291","105","true","65","80","55","true","65","6155","5","true"
"66","1054","15","true","66","26319","105","true","66","80","55","true","66","6168","5","true"
"67","1055","15","true","67","26359","105","true","67","80","55","true","67","6173","5","true"
"68","1053","15","true","68","26385","105","true","68","79","55","true","68","6179","5","true"
"69","1050","15","true","69","26419","105","true","69","79","55","true","69","6190","5","true"
"70","1050","15","true","70","26441","105","true","70","79","55","true","70","6193","5","true"
"71","1052","15","true","71","26491","105","true","71","79","55","true","71","6200","5","true"
"72","1053","15","true","72","26507","105","true","72","79","55","true","72","6209","5","true"
"73","1055","15","true","73","26545","105","true","73","79","55","true","73","6209","5","true"
"74","1058","15","true","74","26599","105","true","74","79","55","true","74","6212","5","true"
"75","1064","15","true","75","26645","105","true","75","79","55","true","75","6212","5","true"
"76","1061","15","true","76","26688","105","true","76","79","55","true","76","6220","5","true"
"77","1061","15","true","77","26725","105","true","77","78","55","true","77","6235","5","true"
"78","1058","15","true","78","26784","105","true","78","78","55","true","78","6231","5","true"
"79","1059","15","true","79","26831","105","true","79","78","55","true","79","6238","5","true"
"80","1060","15","true","80","26875","105","true","80","78","55","true","80","6241","5","true"
"81","1060","15","true","81","26912","105","true","81","78","55","true","81","6246","5","true"
"82","1064","15","true","82","26937","105","true","82","78","55","true","82","6257","5","true"
"83","1067","15","true","83","26953","105","true","83","79","55","true","83","6266","5","true"
"84","1067","15","true","84","27003","105","true","84","79","55","true","84","6269","5","true"
"85","1065","15","true","85","27037","105","true","85","80","55","true","85","6277","5","true"
"86","1067","15","true","86","27072","105","true","86","80","55","true","86","6287","5","true"
"87","1064","15","true","87","27102","105","true","87","80","55","true","87","6294","5","true"
"88","1065","15","true","88","27124","105","true","88","79","55","true","88","6300","5","true"
"89","1068","15","true","89","27153","105","true","89","79","55","true","89","6308","5","true"
"90","1073","15","true","90","27181","105","true","90","79","55","true","90","6316","5","true"
"91","1071","15","true","91","27198","105","true","91","80","55","true","91","6326","5","true"
"92","1071","15","true","92","27223","105","true","92","80","55","true","92","6329","5","true"
"93","1072","15","true","93","27224","105","true","93","80","55","true","93","6345","5","true"
"94","1071","15","true","94","27257","105","true","94","80","55","true","94","6345","5","true"
"95","1073","15","true","95","27302","105","true","95","80","55","true","95","6340","5","true"
"96","1072","15","true","96","27328","105","true","96","80","55","true","96","6337","5","true"
"97","1073","15","true","97","27358","105","true","97","80","55","true","97","6341","5","true"
"98","1070","15","true","98","27369","105","true","98","81","55","true","98","6353","5","true"
"99","1072","15","true","99","27393","105","true","99","81","55","true","99","6358","5","true"
"100","1070","15","true","100","27420","105","true","100","81","55","true","100","6370","5","true"
"101","1071","15","true","101","27448","105","true","101","80","55","true","101","6378","5","true"
"102","1072","15","true","102","27479","105","true","102","80","55","true","102","6387","5","true"
"103","1076","15","true","103","27500","105","true","103","80","55","true","103","6382","5","true"
"104","1076","15","true","104","27521","105","true","104","80","55","true","104","6391","5","true"
"105","1079","15","true","105","27539","105","true","105","81","55","true","105","6393","5","true"
"106","1080","15","true","106","27553","105","true","106","81","55","true","106","6400","5","true"
"107","1085","15","true","107","27585","105","true","107","81","55","true","107","6406","5","true"
"108","1088","15","true","108","27621","105","true","108","81","55","true","108","6407","5","true"
"109","1088","15","true","109","27645","105","true","109","81","55","true","109","6412","5","true"
"110","1086","15","true","110","27663","105","true","110","80","55","true","110","6420","5","true"
"111","1088","15","true","111","27673","105","true","111","80","55","true","111","6432","5","true"
"112","1086","15","true","112","27697","105","true","112","80","55","true","112","6436","5","true"
"113","1082","15","true","113","27725","105","true","113","80","55","true","113","6440","5","true"
"114","1082","15","true","114","27737","105","true","114","80","55","true","114","6435","5","true"
"115","1083","15","true","115","27776","105","true","115","80","55","true","115","6448","5","true"
"116","1083","15","true","116","27779","105","true","116","80","55","true","116","6452","5","true"
"117","1082","15","true","117","27803","105","true","117","81","55","true","117","6452","5","true"
"118","1086","15","true","118","27831","105","true","118","81","55","true","118","6454","5","true"
"119","1087","15","true","119","27842","105","true","119","82","55","true","119","6450","5","true"
"120","1089","15","true","120","27856","105","true","120","82","55","true","120","6448","5","true"
"121","1092","15","true","121","27876","105","true","121","83","55","true","121","6464","5","true"
"122","1092","15","true","122","27895","105","true","122","83","55","true","122","6466","5","true"
"123","1093","15","true","123","27919","105","true","123","83","55","true","123","6477","5","true"
"124","1093","15","true","124","27948","105","true","124","83","55","true","124","6485","5","true"
"125","1096","15","true","125","27958","105","true","125","83","55","true","125","6489","5","true"
"126","1093","15","true","126","27978","105","true","126","83","55","true","126","6492","5","true"
"127","1094","15","true","127","27992","105","true","127","83","55","true","127","6491","5","true"
"128","1093","15","true","128","28018","105","true","128","84","55","true","128","6491","5","true"
"129","1096","15","true","129","28018","105","true","129","84","55","true","129","6507","5","true"
"130","1098","15","true","130","28024","105","true","130","84","55","true","130","6510","5","true"
"131","1100","15","true","131","28060","105","true","131","84","55","true","131","6518","5","true"
"132","1100","15","true","132","28065","105","true","132","84","55","true","132","6525","5","true"
"133","1104","15","true","133","28073","105","true","133","84","55","true","133","6525","5","true"
"134","1101","15","true","134","28079","105","true","134","84","55","true","134","6524","5","true"
"135","1102","15","true","135","28096","105","true","135","84","55","true","135","6524","5","true"
"136","1101","15","true","136","28086","105","true","136","84","55","true","136","6538","5","true"
"137","1101","15","true","137","28110","105","true","137","83","55","true","137","6550","5","true"
"138","1102","15","true","138","28121","105","true","138","83","55","true","138","6555","5","true"
"139","1103","15","true","139","28110","105","true","139","83","55","true","139","6552","5","true"
"140","1104","15","true","140","28118","105","true","140","83","55","true","140","6548","5","true"
"141","1108","15","true","141","28133","105","true","141","83","55","true","141","6551","5","true"
"142","1109","15","true","142","28122","105","true","142","83","55","true","142","6553","5","true"
"143","1112","15","true","143","28120","105","true","143","82","55","true","143","6554","5","true"
"144","1111","15","true","144","28137","105","true","144","82","55","true","144","6547","5","true"
