"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"11/18/2024 11:14:15:636 -0600"

"MODEL SETTINGS"
"initnumclosts","midstuckconc","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","seedpercent","inconcclosts","tickinflow","bifido-lactate-production","plots-on?","absorption","initnumbifidos","inflowlactose","initnumbacteroides","inflowinulin","maxstuckchance","inflowglucose"
"921","10","330","25","330","0","10","1","330","5","70","0","0","0","0","0.28","0.1","0","2","330","5","0","480","0.005","true","100","23562","15","5490","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","25900","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1047"
"""Bifidos""","true","0","1","105","1047"
"""Desulfos""","true","0","1","55","1047"
"""Bacteroides""","true","0","1","5","1047"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","926","15","true","1","23637","105","true","1","69","55","true","1","5496","5","true"
"2","928","15","true","2","23710","105","true","2","69","55","true","2","5513","5","true"
"3","930","15","true","3","23767","105","true","3","69","55","true","3","5532","5","true"
"4","935","15","true","4","23826","105","true","4","70","55","true","4","5551","5","true"
"5","940","15","true","5","23862","105","true","5","70","55","true","5","5562","5","true"
"6","938","15","true","6","23910","105","true","6","71","55","true","6","5561","5","true"
"7","939","15","true","7","23943","105","true","7","71","55","true","7","5568","5","true"
"8","940","15","true","8","23981","105","true","8","71","55","true","8","5577","5","true"
"9","942","15","true","9","23996","105","true","9","71","55","true","9","5589","5","true"
"10","943","15","true","10","24031","105","true","10","71","55","true","10","5601","5","true"
"11","943","15","true","11","24056","105","true","11","72","55","true","11","5610","5","true"
"12","944","15","true","12","24082","105","true","12","72","55","true","12","5613","5","true"
"13","944","15","true","13","24109","105","true","13","72","55","true","13","5620","5","true"
"14","944","15","true","14","24132","105","true","14","72","55","true","14","5630","5","true"
"15","946","15","true","15","24164","105","true","15","71","55","true","15","5627","5","true"
"16","948","15","true","16","24200","105","true","16","70","55","true","16","5624","5","true"
"17","951","15","true","17","24242","105","true","17","70","55","true","17","5630","5","true"
"18","950","15","true","18","24270","105","true","18","70","55","true","18","5630","5","true"
"19","951","15","true","19","24299","105","true","19","69","55","true","19","5639","5","true"
"20","951","15","true","20","24340","105","true","20","69","55","true","20","5645","5","true"
"21","953","15","true","21","24365","105","true","21","70","55","true","21","5651","5","true"
"22","950","15","true","22","24383","105","true","22","69","55","true","22","5647","5","true"
"23","952","15","true","23","24383","105","true","23","70","55","true","23","5644","5","true"
"24","957","15","true","24","24403","105","true","24","70","55","true","24","5649","5","true"
"25","959","15","true","25","24421","105","true","25","71","55","true","25","5653","5","true"
"26","958","15","true","26","24449","105","true","26","71","55","true","26","5665","5","true"
"27","962","15","true","27","24468","105","true","27","71","55","true","27","5676","5","true"
"28","962","15","true","28","24493","105","true","28","72","55","true","28","5678","5","true"
"29","960","15","true","29","24508","105","true","29","72","55","true","29","5672","5","true"
"30","962","15","true","30","24510","105","true","30","72","55","true","30","5682","5","true"
"31","963","15","true","31","24520","105","true","31","72","55","true","31","5689","5","true"
"32","966","15","true","32","24537","105","true","32","72","55","true","32","5696","5","true"
"33","968","15","true","33","24540","105","true","33","72","55","true","33","5711","5","true"
"34","966","15","true","34","24556","105","true","34","73","55","true","34","5718","5","true"
"35","967","15","true","35","24564","105","true","35","73","55","true","35","5722","5","true"
"36","968","15","true","36","24586","105","true","36","73","55","true","36","5727","5","true"
"37","970","15","true","37","24606","105","true","37","73","55","true","37","5730","5","true"
"38","973","15","true","38","24626","105","true","38","73","55","true","38","5730","5","true"
"39","975","15","true","39","24635","105","true","39","72","55","true","39","5737","5","true"
"40","972","15","true","40","24649","105","true","40","72","55","true","40","5733","5","true"
"41","970","15","true","41","24661","105","true","41","73","55","true","41","5740","5","true"
"42","974","15","true","42","24682","105","true","42","72","55","true","42","5745","5","true"
"43","972","15","true","43","24670","105","true","43","71","55","true","43","5743","5","true"
"44","972","15","true","44","24687","105","true","44","71","55","true","44","5745","5","true"
"45","972","15","true","45","24703","105","true","45","71","55","true","45","5741","5","true"
"46","969","15","true","46","24707","105","true","46","72","55","true","46","5745","5","true"
"47","967","15","true","47","24730","105","true","47","72","55","true","47","5747","5","true"
"48","973","15","true","48","24734","105","true","48","72","55","true","48","5753","5","true"
"49","974","15","true","49","24725","105","true","49","71","55","true","49","5753","5","true"
"50","975","15","true","50","24740","105","true","50","71","55","true","50","5752","5","true"
"51","972","15","true","51","24766","105","true","51","71","55","true","51","5746","5","true"
"52","966","15","true","52","24776","105","true","52","71","55","true","52","5746","5","true"
"53","965","15","true","53","24786","105","true","53","71","55","true","53","5747","5","true"
"54","963","15","true","54","24798","105","true","54","72","55","true","54","5746","5","true"
"55","961","15","true","55","24794","105","true","55","72","55","true","55","5760","5","true"
"56","962","15","true","56","24798","105","true","56","72","55","true","56","5771","5","true"
"57","965","15","true","57","24809","105","true","57","71","55","true","57","5775","5","true"
"58","967","15","true","58","24809","105","true","58","72","55","true","58","5763","5","true"
"59","963","15","true","59","24829","105","true","59","72","55","true","59","5765","5","true"
