"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"11/18/2024 11:28:16:102 -0600"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","tickinflow","seedpercent","inconcclosts","bifido-lactate-production","plots-on?","absorption","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","50","0","0","0","0.28","0.1","0","2","330","480","5","0","0.005","true","0","23562","5490","15","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","25900","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1031"
"""Bifidos""","true","0","1","105","1031"
"""Desulfos""","true","0","1","55","1031"
"""Bacteroides""","true","0","1","5","1031"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","921","15","true","1","23622","105","true","1","69","55","true","1","5505","5","true"
"2","925","15","true","2","23689","105","true","2","70","55","true","2","5521","5","true"
"3","930","15","true","3","23753","105","true","3","70","55","true","3","5532","5","true"
"4","935","15","true","4","23820","105","true","4","70","55","true","4","5547","5","true"
"5","934","15","true","5","23859","105","true","5","69","55","true","5","5557","5","true"
"6","934","15","true","6","23904","105","true","6","69","55","true","6","5571","5","true"
"7","934","15","true","7","23952","105","true","7","70","55","true","7","5579","5","true"
"8","936","15","true","8","23984","105","true","8","70","55","true","8","5594","5","true"
"9","941","15","true","9","24023","105","true","9","71","55","true","9","5604","5","true"
"10","942","15","true","10","24051","105","true","10","71","55","true","10","5617","5","true"
"11","943","15","true","11","24111","105","true","11","71","55","true","11","5614","5","true"
"12","948","15","true","12","24152","105","true","12","69","55","true","12","5618","5","true"
"13","951","15","true","13","24194","105","true","13","69","55","true","13","5627","5","true"
"14","951","15","true","14","24244","105","true","14","69","55","true","14","5621","5","true"
"15","951","15","true","15","24271","105","true","15","71","55","true","15","5629","5","true"
"16","951","15","true","16","24310","105","true","16","70","55","true","16","5636","5","true"
"17","950","15","true","17","24339","105","true","17","70","55","true","17","5642","5","true"
"18","951","15","true","18","24363","105","true","18","70","55","true","18","5649","5","true"
"19","956","15","true","19","24388","105","true","19","70","55","true","19","5666","5","true"
"20","960","15","true","20","24409","105","true","20","70","55","true","20","5678","5","true"
"21","958","15","true","21","24434","105","true","21","70","55","true","21","5686","5","true"
"22","956","15","true","22","24447","105","true","22","69","55","true","22","5694","5","true"
"23","957","15","true","23","24473","105","true","23","69","55","true","23","5698","5","true"
"24","959","15","true","24","24505","105","true","24","69","55","true","24","5699","5","true"
"25","960","15","true","25","24523","105","true","25","69","55","true","25","5706","5","true"
"26","961","15","true","26","24533","105","true","26","68","55","true","26","5708","5","true"
"27","966","15","true","27","24566","105","true","27","68","55","true","27","5719","5","true"
"28","970","15","true","28","24575","105","true","28","68","55","true","28","5725","5","true"
"29","969","15","true","29","24597","105","true","29","68","55","true","29","5735","5","true"
"30","970","15","true","30","24624","105","true","30","67","55","true","30","5740","5","true"
"31","976","15","true","31","24642","105","true","31","67","55","true","31","5743","5","true"
"32","976","15","true","32","24655","105","true","32","67","55","true","32","5748","5","true"
"33","973","15","true","33","24691","105","true","33","67","55","true","33","5760","5","true"
"34","976","15","true","34","24700","105","true","34","67","55","true","34","5766","5","true"
"35","976","15","true","35","24702","105","true","35","67","55","true","35","5759","5","true"
"36","975","15","true","36","24723","105","true","36","67","55","true","36","5768","5","true"
"37","978","15","true","37","24732","105","true","37","67","55","true","37","5778","5","true"
"38","979","15","true","38","24750","105","true","38","67","55","true","38","5775","5","true"
"39","981","15","true","39","24745","105","true","39","67","55","true","39","5763","5","true"
"40","982","15","true","40","24750","105","true","40","67","55","true","40","5772","5","true"
"41","978","15","true","41","24777","105","true","41","67","55","true","41","5781","5","true"
"42","978","15","true","42","24789","105","true","42","68","55","true","42","5782","5","true"
"43","980","15","true","43","24820","105","true","43","68","55","true","43","5784","5","true"
"44","980","15","true","44","24845","105","true","44","68","55","true","44","5785","5","true"
"45","980","15","true","45","24851","105","true","45","68","55","true","45","5785","5","true"
"46","982","15","true","46","24873","105","true","46","68","55","true","46","5791","5","true"
"47","983","15","true","47","24891","105","true","47","68","55","true","47","5798","5","true"
"48","984","15","true","48","24900","105","true","48","68","55","true","48","5811","5","true"
"49","983","15","true","49","24914","105","true","49","68","55","true","49","5811","5","true"
"50","986","15","true","50","24938","105","true","50","68","55","true","50","5811","5","true"
"51","988","15","true","51","24952","105","true","51","68","55","true","51","5813","5","true"
"52","991","15","true","52","24945","105","true","52","68","55","true","52","5829","5","true"
"53","991","15","true","53","24950","105","true","53","67","55","true","53","5825","5","true"
"54","992","15","true","54","24968","105","true","54","67","55","true","54","5837","5","true"
"55","990","15","true","55","24983","105","true","55","67","55","true","55","5845","5","true"
"56","991","15","true","56","25012","105","true","56","67","55","true","56","5842","5","true"
"57","988","15","true","57","25038","105","true","57","67","55","true","57","5847","5","true"
"58","988","15","true","58","25064","105","true","58","67","55","true","58","5851","5","true"
"59","991","15","true","59","25070","105","true","59","68","55","true","59","5851","5","true"
"60","992","15","true","60","25077","105","true","60","68","55","true","60","5865","5","true"
"61","995","15","true","61","25083","105","true","61","68","55","true","61","5864","5","true"
"62","989","15","true","62","25079","105","true","62","68","55","true","62","5867","5","true"
"63","990","15","true","63","25081","105","true","63","69","55","true","63","5867","5","true"
"64","991","15","true","64","25072","105","true","64","70","55","true","64","5869","5","true"
"65","990","15","true","65","25085","105","true","65","70","55","true","65","5876","5","true"
"66","987","15","true","66","25091","105","true","66","70","55","true","66","5865","5","true"
"67","986","15","true","67","25111","105","true","67","70","55","true","67","5856","5","true"
"68","985","15","true","68","25117","105","true","68","70","55","true","68","5858","5","true"
"69","986","15","true","69","25121","105","true","69","70","55","true","69","5861","5","true"
"70","985","15","true","70","25130","105","true","70","69","55","true","70","5866","5","true"
"71","987","15","true","71","25165","105","true","71","69","55","true","71","5874","5","true"
"72","987","15","true","72","25182","105","true","72","69","55","true","72","5873","5","true"
"73","989","15","true","73","25191","105","true","73","69","55","true","73","5878","5","true"
"74","990","15","true","74","25185","105","true","74","69","55","true","74","5881","5","true"
"75","988","15","true","75","25213","105","true","75","69","55","true","75","5876","5","true"
"76","987","15","true","76","25225","105","true","76","70","55","true","76","5876","5","true"
"77","987","15","true","77","25241","105","true","77","70","55","true","77","5884","5","true"
"78","986","15","true","78","25236","105","true","78","72","55","true","78","5888","5","true"
"79","989","15","true","79","25244","105","true","79","72","55","true","79","5891","5","true"
"80","990","15","true","80","25236","105","true","80","72","55","true","80","5883","5","true"
"81","992","15","true","81","25228","105","true","81","73","55","true","81","5885","5","true"
"82","993","15","true","82","25209","105","true","82","72","55","true","82","5886","5","true"
"83","996","15","true","83","25208","105","true","83","72","55","true","83","5875","5","true"
"84","1001","15","true","84","25213","105","true","84","72","55","true","84","5884","5","true"
"85","1000","15","true","85","25224","105","true","85","73","55","true","85","5882","5","true"
"86","1000","15","true","86","25245","105","true","86","72","55","true","86","5884","5","true"
"87","997","15","true","87","25244","105","true","87","72","55","true","87","5884","5","true"
"88","993","15","true","88","25237","105","true","88","71","55","true","88","5884","5","true"
"89","988","15","true","89","25234","105","true","89","71","55","true","89","5882","5","true"
"90","987","15","true","90","25270","105","true","90","71","55","true","90","5879","5","true"
"91","989","15","true","91","25267","105","true","91","71","55","true","91","5882","5","true"
"92","990","15","true","92","25258","105","true","92","71","55","true","92","5875","5","true"
"93","990","15","true","93","25239","105","true","93","71","55","true","93","5862","5","true"
"94","993","15","true","94","25237","105","true","94","71","55","true","94","5868","5","true"
"95","987","15","true","95","25228","105","true","95","71","55","true","95","5858","5","true"
"96","989","15","true","96","25229","105","true","96","71","55","true","96","5857","5","true"
"97","988","15","true","97","25218","105","true","97","71","55","true","97","5862","5","true"
"98","989","15","true","98","25219","105","true","98","71","55","true","98","5869","5","true"
"99","989","15","true","99","25200","105","true","99","71","55","true","99","5871","5","true"
"100","990","15","true","100","25197","105","true","100","71","55","true","100","5877","5","true"
"101","991","15","true","101","25172","105","true","101","72","55","true","101","5865","5","true"
"102","992","15","true","102","25142","105","true","102","71","55","true","102","5865","5","true"
"103","993","15","true","103","25136","105","true","103","71","55","true","103","5877","5","true"
"104","991","15","true","104","25139","105","true","104","71","55","true","104","5871","5","true"
"105","991","15","true","105","25133","105","true","105","71","55","true","105","5868","5","true"
"106","993","15","true","106","25124","105","true","106","71","55","true","106","5868","5","true"
"107","989","15","true","107","25100","105","true","107","72","55","true","107","5863","5","true"
"108","988","15","true","108","25086","105","true","108","72","55","true","108","5858","5","true"
"109","986","15","true","109","25083","105","true","109","72","55","true","109","5863","5","true"
