"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"11/18/2024 13:47:19:935 -0600"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","tickinflow","seedpercent","inconcclosts","absorption","plots-on?","bifido-lactate-production","initnumbifidos","inflowlactose","initnumbacteroides","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","100","0","0","0","0.28","0.1","0","2","330","480","5","0","100","true","0.005","23562","15","5490","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","25900","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1027"
"""Bifidos""","true","0","1","105","1027"
"""Desulfos""","true","0","1","55","1027"
"""Bacteroides""","true","0","1","5","1027"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","925","15","true","1","23624","105","true","1","70","55","true","1","5496","5","true"
"2","929","15","true","2","23682","105","true","2","72","55","true","2","5512","5","true"
"3","932","15","true","3","23735","105","true","3","72","55","true","3","5521","5","true"
"4","934","15","true","4","23793","105","true","4","72","55","true","4","5537","5","true"
"5","935","15","true","5","23840","105","true","5","72","55","true","5","5552","5","true"
"6","936","15","true","6","23896","105","true","6","72","55","true","6","5567","5","true"
"7","938","15","true","7","23924","105","true","7","71","55","true","7","5573","5","true"
"8","940","15","true","8","23958","105","true","8","71","55","true","8","5577","5","true"
"9","943","15","true","9","23979","105","true","9","71","55","true","9","5586","5","true"
"10","947","15","true","10","24012","105","true","10","72","55","true","10","5593","5","true"
"11","949","15","true","11","24037","105","true","11","72","55","true","11","5595","5","true"
"12","951","15","true","12","24079","105","true","12","72","55","true","12","5602","5","true"
"13","954","15","true","13","24105","105","true","13","72","55","true","13","5605","5","true"
"14","954","15","true","14","24137","105","true","14","72","55","true","14","5606","5","true"
"15","955","15","true","15","24169","105","true","15","72","55","true","15","5607","5","true"
"16","958","15","true","16","24202","105","true","16","73","55","true","16","5611","5","true"
"17","963","15","true","17","24230","105","true","17","72","55","true","17","5621","5","true"
"18","962","15","true","18","24241","105","true","18","72","55","true","18","5629","5","true"
"19","964","15","true","19","24282","105","true","19","72","55","true","19","5639","5","true"
"20","966","15","true","20","24307","105","true","20","72","55","true","20","5650","5","true"
"21","970","15","true","21","24320","105","true","21","72","55","true","21","5646","5","true"
"22","970","15","true","22","24347","105","true","22","72","55","true","22","5645","5","true"
"23","967","15","true","23","24358","105","true","23","72","55","true","23","5653","5","true"
"24","967","15","true","24","24381","105","true","24","72","55","true","24","5655","5","true"
"25","970","15","true","25","24411","105","true","25","72","55","true","25","5676","5","true"
"26","972","15","true","26","24425","105","true","26","72","55","true","26","5679","5","true"
"27","973","15","true","27","24447","105","true","27","72","55","true","27","5680","5","true"
"28","974","15","true","28","24479","105","true","28","73","55","true","28","5687","5","true"
"29","978","15","true","29","24470","105","true","29","72","55","true","29","5697","5","true"
"30","981","15","true","30","24490","105","true","30","72","55","true","30","5711","5","true"
"31","983","15","true","31","24523","105","true","31","72","55","true","31","5709","5","true"
"32","983","15","true","32","24529","105","true","32","72","55","true","32","5712","5","true"
"33","984","15","true","33","24556","105","true","33","72","55","true","33","5720","5","true"
"34","982","15","true","34","24579","105","true","34","72","55","true","34","5727","5","true"
"35","984","15","true","35","24594","105","true","35","71","55","true","35","5729","5","true"
"36","985","15","true","36","24599","105","true","36","70","55","true","36","5738","5","true"
"37","983","15","true","37","24611","105","true","37","70","55","true","37","5747","5","true"
"38","986","15","true","38","24614","105","true","38","69","55","true","38","5752","5","true"
"39","987","15","true","39","24620","105","true","39","69","55","true","39","5764","5","true"
"40","987","15","true","40","24633","105","true","40","69","55","true","40","5763","5","true"
"41","988","15","true","41","24663","105","true","41","69","55","true","41","5765","5","true"
"42","989","15","true","42","24671","105","true","42","69","55","true","42","5763","5","true"
"43","992","15","true","43","24697","105","true","43","69","55","true","43","5769","5","true"
"44","993","15","true","44","24700","105","true","44","69","55","true","44","5777","5","true"
"45","996","15","true","45","24721","105","true","45","69","55","true","45","5782","5","true"
"46","997","15","true","46","24760","105","true","46","70","55","true","46","5778","5","true"
"47","999","15","true","47","24777","105","true","47","70","55","true","47","5782","5","true"
"48","1001","15","true","48","24801","105","true","48","69","55","true","48","5790","5","true"
"49","1000","15","true","49","24828","105","true","49","69","55","true","49","5801","5","true"
"50","1002","15","true","50","24825","105","true","50","69","55","true","50","5800","5","true"
"51","1002","15","true","51","24827","105","true","51","68","55","true","51","5805","5","true"
"52","1004","15","true","52","24815","105","true","52","68","55","true","52","5806","5","true"
"53","1005","15","true","53","24850","105","true","53","68","55","true","53","5812","5","true"
"54","1006","15","true","54","24839","105","true","54","69","55","true","54","5816","5","true"
"55","1006","15","true","55","24848","105","true","55","69","55","true","55","5809","5","true"
"56","1004","15","true","56","24839","105","true","56","69","55","true","56","5808","5","true"
"57","1004","15","true","57","24843","105","true","57","69","55","true","57","5804","5","true"
"58","1009","15","true","58","24852","105","true","58","69","55","true","58","5808","5","true"
"59","1006","15","true","59","24848","105","true","59","69","55","true","59","5813","5","true"
"60","1008","15","true","60","24838","105","true","60","70","55","true","60","5813","5","true"
"61","1010","15","true","61","24844","105","true","61","71","55","true","61","5812","5","true"
"62","1011","15","true","62","24861","105","true","62","71","55","true","62","5815","5","true"
"63","1007","15","true","63","24843","105","true","63","71","55","true","63","5811","5","true"
"64","1006","15","true","64","24846","105","true","64","71","55","true","64","5815","5","true"
"65","1008","15","true","65","24841","105","true","65","71","55","true","65","5815","5","true"
"66","1008","15","true","66","24847","105","true","66","71","55","true","66","5818","5","true"
"67","1009","15","true","67","24861","105","true","67","71","55","true","67","5815","5","true"
"68","1008","15","true","68","24855","105","true","68","71","55","true","68","5822","5","true"
"69","1008","15","true","69","24868","105","true","69","70","55","true","69","5830","5","true"
"70","1003","15","true","70","24873","105","true","70","70","55","true","70","5828","5","true"
"71","1004","15","true","71","24873","105","true","71","70","55","true","71","5828","5","true"
"72","999","15","true","72","24878","105","true","72","70","55","true","72","5834","5","true"
"73","996","15","true","73","24874","105","true","73","70","55","true","73","5831","5","true"
"74","999","15","true","74","24891","105","true","74","71","55","true","74","5832","5","true"
"75","1000","15","true","75","24917","105","true","75","71","55","true","75","5828","5","true"
"76","999","15","true","76","24927","105","true","76","71","55","true","76","5837","5","true"
"77","1000","15","true","77","24936","105","true","77","71","55","true","77","5836","5","true"
"78","999","15","true","78","24926","105","true","78","71","55","true","78","5830","5","true"
"79","1006","15","true","79","24935","105","true","79","71","55","true","79","5832","5","true"
"80","1009","15","true","80","24958","105","true","80","70","55","true","80","5847","5","true"
"81","1009","15","true","81","24965","105","true","81","70","55","true","81","5846","5","true"
"82","1011","15","true","82","24986","105","true","82","70","55","true","82","5842","5","true"
"83","1010","15","true","83","24987","105","true","83","70","55","true","83","5848","5","true"
"84","1009","15","true","84","24996","105","true","84","70","55","true","84","5858","5","true"
"85","1005","15","true","85","25004","105","true","85","70","55","true","85","5856","5","true"
"86","1004","15","true","86","25012","105","true","86","70","55","true","86","5854","5","true"
"87","1000","15","true","87","24990","105","true","87","70","55","true","87","5858","5","true"
"88","1002","15","true","88","25006","105","true","88","68","55","true","88","5869","5","true"
"89","1002","15","true","89","25021","105","true","89","68","55","true","89","5865","5","true"
"90","999","15","true","90","25019","105","true","90","68","55","true","90","5858","5","true"
"91","999","15","true","91","25005","105","true","91","67","55","true","91","5853","5","true"
"92","1002","15","true","92","25005","105","true","92","65","55","true","92","5851","5","true"
"93","1003","15","true","93","25021","105","true","93","65","55","true","93","5850","5","true"
"94","1001","15","true","94","24990","105","true","94","65","55","true","94","5854","5","true"
"95","998","15","true","95","24974","105","true","95","65","55","true","95","5865","5","true"
"96","996","15","true","96","24969","105","true","96","64","55","true","96","5856","5","true"
