"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"11/25/2024 12:26:16:104 -0600"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","seedpercent","tickinflow","inconcclosts","bifido-lactate-production","plots-on?","absorption","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","0","0","0","0","0.28","0.1","0","2","330","5","480","0","0.005","true","60","23562","5490","15","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","25900","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1046"
"""Bifidos""","true","0","1","105","1046"
"""Desulfos""","true","0","1","55","1046"
"""Bacteroides""","true","0","1","5","1046"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","923","15","true","1","23638","105","true","1","69","55","true","1","5503","5","true"
"2","927","15","true","2","23696","105","true","2","71","55","true","2","5524","5","true"
"3","928","15","true","3","23763","105","true","3","71","55","true","3","5537","5","true"
"4","934","15","true","4","23821","105","true","4","71","55","true","4","5550","5","true"
"5","937","15","true","5","23869","105","true","5","71","55","true","5","5559","5","true"
"6","939","15","true","6","23911","105","true","6","71","55","true","6","5570","5","true"
"7","943","15","true","7","23965","105","true","7","71","55","true","7","5585","5","true"
"8","945","15","true","8","24002","105","true","8","72","55","true","8","5599","5","true"
"9","944","15","true","9","24017","105","true","9","72","55","true","9","5608","5","true"
"10","942","15","true","10","24069","105","true","10","72","55","true","10","5611","5","true"
"11","944","15","true","11","24088","105","true","11","72","55","true","11","5623","5","true"
"12","945","15","true","12","24114","105","true","12","72","55","true","12","5636","5","true"
"13","947","15","true","13","24132","105","true","13","72","55","true","13","5646","5","true"
"14","948","15","true","14","24168","105","true","14","72","55","true","14","5647","5","true"
"15","947","15","true","15","24199","105","true","15","72","55","true","15","5650","5","true"
"16","948","15","true","16","24237","105","true","16","73","55","true","16","5657","5","true"
"17","949","15","true","17","24268","105","true","17","73","55","true","17","5664","5","true"
"18","949","15","true","18","24301","105","true","18","73","55","true","18","5678","5","true"
"19","950","15","true","19","24339","105","true","19","73","55","true","19","5686","5","true"
"20","952","15","true","20","24359","105","true","20","73","55","true","20","5691","5","true"
"21","952","15","true","21","24374","105","true","21","73","55","true","21","5702","5","true"
"22","953","15","true","22","24383","105","true","22","72","55","true","22","5713","5","true"
"23","957","15","true","23","24404","105","true","23","72","55","true","23","5715","5","true"
"24","956","15","true","24","24424","105","true","24","72","55","true","24","5714","5","true"
"25","956","15","true","25","24416","105","true","25","72","55","true","25","5713","5","true"
"26","956","15","true","26","24450","105","true","26","72","55","true","26","5707","5","true"
"27","956","15","true","27","24463","105","true","27","71","55","true","27","5711","5","true"
"28","954","15","true","28","24482","105","true","28","71","55","true","28","5712","5","true"
"29","955","15","true","29","24513","105","true","29","72","55","true","29","5718","5","true"
"30","959","15","true","30","24533","105","true","30","72","55","true","30","5727","5","true"
"31","959","15","true","31","24555","105","true","31","72","55","true","31","5727","5","true"
"32","960","15","true","32","24573","105","true","32","72","55","true","32","5727","5","true"
"33","960","15","true","33","24590","105","true","33","72","55","true","33","5732","5","true"
"34","960","15","true","34","24614","105","true","34","73","55","true","34","5731","5","true"
"35","962","15","true","35","24634","105","true","35","73","55","true","35","5730","5","true"
"36","961","15","true","36","24644","105","true","36","74","55","true","36","5732","5","true"
"37","964","15","true","37","24650","105","true","37","74","55","true","37","5738","5","true"
"38","965","15","true","38","24651","105","true","38","74","55","true","38","5740","5","true"
"39","968","15","true","39","24658","105","true","39","74","55","true","39","5736","5","true"
"40","970","15","true","40","24689","105","true","40","73","55","true","40","5740","5","true"
"41","968","15","true","41","24696","105","true","41","73","55","true","41","5737","5","true"
"42","969","15","true","42","24722","105","true","42","73","55","true","42","5738","5","true"
"43","967","15","true","43","24736","105","true","43","73","55","true","43","5738","5","true"
"44","966","15","true","44","24768","105","true","44","75","55","true","44","5747","5","true"
"45","967","15","true","45","24795","105","true","45","75","55","true","45","5753","5","true"
"46","967","15","true","46","24796","105","true","46","75","55","true","46","5751","5","true"
"47","964","15","true","47","24819","105","true","47","76","55","true","47","5753","5","true"
"48","966","15","true","48","24821","105","true","48","77","55","true","48","5754","5","true"
"49","964","15","true","49","24845","105","true","49","77","55","true","49","5752","5","true"
"50","965","15","true","50","24860","105","true","50","77","55","true","50","5765","5","true"
"51","966","15","true","51","24860","105","true","51","78","55","true","51","5765","5","true"
"52","968","15","true","52","24855","105","true","52","78","55","true","52","5775","5","true"
"53","969","15","true","53","24856","105","true","53","79","55","true","53","5764","5","true"
"54","971","15","true","54","24882","105","true","54","79","55","true","54","5759","5","true"
"55","970","15","true","55","24910","105","true","55","79","55","true","55","5759","5","true"
"56","973","15","true","56","24913","105","true","56","80","55","true","56","5764","5","true"
"57","973","15","true","57","24940","105","true","57","80","55","true","57","5765","5","true"
"58","976","15","true","58","24962","105","true","58","80","55","true","58","5763","5","true"
"59","976","15","true","59","24944","105","true","59","78","55","true","59","5766","5","true"
"60","975","15","true","60","24949","105","true","60","78","55","true","60","5766","5","true"
"61","974","15","true","61","24944","105","true","61","81","55","true","61","5766","5","true"
"62","974","15","true","62","24943","105","true","62","81","55","true","62","5768","5","true"
"63","975","15","true","63","24949","105","true","63","81","55","true","63","5768","5","true"
"64","976","15","true","64","24946","105","true","64","80","55","true","64","5758","5","true"
"65","974","15","true","65","24947","105","true","65","80","55","true","65","5750","5","true"
"66","971","15","true","66","24974","105","true","66","80","55","true","66","5751","5","true"
"67","973","15","true","67","24974","105","true","67","80","55","true","67","5748","5","true"
"68","973","15","true","68","24970","105","true","68","80","55","true","68","5735","5","true"
"69","974","15","true","69","24977","105","true","69","80","55","true","69","5724","5","true"
"70","972","15","true","70","24988","105","true","70","80","55","true","70","5723","5","true"
"71","971","15","true","71","24978","105","true","71","80","55","true","71","5728","5","true"
"72","971","15","true","72","24984","105","true","72","80","55","true","72","5720","5","true"
"73","968","15","true","73","24977","105","true","73","80","55","true","73","5731","5","true"
"74","970","15","true","74","24997","105","true","74","81","55","true","74","5740","5","true"
"75","969","15","true","75","24996","105","true","75","82","55","true","75","5748","5","true"
"76","965","15","true","76","25003","105","true","76","82","55","true","76","5753","5","true"
"77","967","15","true","77","24990","105","true","77","82","55","true","77","5752","5","true"
"78","966","15","true","78","24992","105","true","78","82","55","true","78","5749","5","true"
"79","971","15","true","79","24991","105","true","79","82","55","true","79","5750","5","true"
"80","971","15","true","80","24984","105","true","80","82","55","true","80","5754","5","true"
"81","970","15","true","81","24988","105","true","81","82","55","true","81","5750","5","true"
"82","970","15","true","82","24994","105","true","82","81","55","true","82","5748","5","true"
"83","973","15","true","83","24998","105","true","83","80","55","true","83","5756","5","true"
"84","974","15","true","84","25025","105","true","84","80","55","true","84","5757","5","true"
"85","969","15","true","85","25028","105","true","85","80","55","true","85","5753","5","true"
"86","969","15","true","86","25030","105","true","86","78","55","true","86","5748","5","true"
"87","969","15","true","87","25026","105","true","87","78","55","true","87","5748","5","true"
"88","968","15","true","88","25036","105","true","88","78","55","true","88","5751","5","true"
"89","971","15","true","89","25044","105","true","89","78","55","true","89","5754","5","true"
"90","974","15","true","90","25069","105","true","90","78","55","true","90","5755","5","true"
"91","973","15","true","91","25065","105","true","91","78","55","true","91","5758","5","true"
"92","973","15","true","92","25050","105","true","92","78","55","true","92","5762","5","true"
"93","975","15","true","93","25048","105","true","93","78","55","true","93","5758","5","true"
"94","975","15","true","94","25062","105","true","94","78","55","true","94","5757","5","true"
"95","973","15","true","95","25045","105","true","95","77","55","true","95","5763","5","true"
"96","975","15","true","96","25046","105","true","96","77","55","true","96","5760","5","true"
"97","972","15","true","97","25042","105","true","97","77","55","true","97","5755","5","true"
"98","972","15","true","98","25040","105","true","98","77","55","true","98","5756","5","true"
"99","973","15","true","99","25061","105","true","99","77","55","true","99","5759","5","true"
"100","973","15","true","100","25062","105","true","100","76","55","true","100","5769","5","true"
"101","974","15","true","101","25058","105","true","101","77","55","true","101","5762","5","true"
"102","977","15","true","102","25050","105","true","102","77","55","true","102","5765","5","true"
"103","980","15","true","103","25017","105","true","103","77","55","true","103","5765","5","true"
"104","980","15","true","104","24995","105","true","104","72","55","true","104","5758","5","true"
