"export-plots data (NetLogo 6.4.0)"
"GutLogo.nlogo"
"10/21/2024 13:22:33:250 -0500"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifidos","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","inconcclosts","tickinflow","seedpercent","absorption","plots-on?","bifido-lactate-production","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","25","0","0","0","0.28","0.1","0","2","330","0","480","25","25","true","0.005","23562","5490","15","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","1120","0","28500","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","1011"
"""Bifidos""","true","0","1","105","1011"
"""Desulfos""","true","0","1","55","1011"
"""Bacteroides""","true","0","1","5","1011"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","922","15","true","1","23617","105","true","1","69","55","true","1","5506","5","true"
"2","927","15","true","2","23677","105","true","2","69","55","true","2","5520","5","true"
"3","928","15","true","3","23742","105","true","3","69","55","true","3","5534","5","true"
"4","930","15","true","4","23805","105","true","4","69","55","true","4","5541","5","true"
"5","930","15","true","5","23837","105","true","5","69","55","true","5","5551","5","true"
"6","930","15","true","6","23880","105","true","6","69","55","true","6","5564","5","true"
"7","932","15","true","7","23914","105","true","7","69","55","true","7","5578","5","true"
"8","934","15","true","8","23970","105","true","8","68","55","true","8","5591","5","true"
"9","934","15","true","9","24024","105","true","9","69","55","true","9","5604","5","true"
"10","937","15","true","10","24081","105","true","10","69","55","true","10","5610","5","true"
"11","938","15","true","11","24123","105","true","11","69","55","true","11","5617","5","true"
"12","938","15","true","12","24182","105","true","12","69","55","true","12","5621","5","true"
"13","941","15","true","13","24218","105","true","13","69","55","true","13","5629","5","true"
"14","943","15","true","14","24258","105","true","14","69","55","true","14","5643","5","true"
"15","945","15","true","15","24313","105","true","15","69","55","true","15","5656","5","true"
"16","951","15","true","16","24345","105","true","16","69","55","true","16","5663","5","true"
"17","954","15","true","17","24383","105","true","17","69","55","true","17","5671","5","true"
"18","954","15","true","18","24421","105","true","18","69","55","true","18","5677","5","true"
"19","954","15","true","19","24428","105","true","19","70","55","true","19","5684","5","true"
"20","956","15","true","20","24447","105","true","20","69","55","true","20","5692","5","true"
"21","957","15","true","21","24493","105","true","21","69","55","true","21","5698","5","true"
"22","959","15","true","22","24527","105","true","22","69","55","true","22","5708","5","true"
"23","959","15","true","23","24549","105","true","23","70","55","true","23","5714","5","true"
"24","959","15","true","24","24592","105","true","24","70","55","true","24","5715","5","true"
"25","965","15","true","25","24622","105","true","25","70","55","true","25","5729","5","true"
"26","967","15","true","26","24630","105","true","26","70","55","true","26","5735","5","true"
"27","966","15","true","27","24664","105","true","27","71","55","true","27","5740","5","true"
"28","970","15","true","28","24704","105","true","28","71","55","true","28","5745","5","true"
