"export-plot data (NetLogo 6.3.0)"
"GutLogo.nlogo"
"08/12/2023 15:50:06:763 -0500"

"MODEL SETTINGS"
"midstuckconc","initnumclosts","bacteroiddoub","inflowfo","clostdoub","inconcbifido","unstuckchance","testconst","desulfodoub","seedchance","initnumdesulfos","reservefraction","inflowlactate","randdist","inconcbacteroides","flowdist","inflowcs","inconcdesulfos","lowstuckbound","bifidodoub","tickinflow","inconcclosts","seedpercent","bifido-lactate-production","plots-on?","absorption","initnumbifidos","initnumbacteroides","inflowlactose","inflowinulin","maxstuckchance","inflowglucose"
"10","921","330","25","330","0","10","1","330","5","70","0","0","0","0","0.28","0.1","0","2","330","480","0","5","0.005","true","0","23562","5490","15","10","50","30"

"""Populations"""
"x min","x max","y min","y max","autoplot?","current pen","legend open?","number of pens"
"0","4290","0","25900","true","""Closts""","true","4"

"pen name","pen down?","mode","interval","color","x"
"""Closts""","true","0","1","15","3458"
"""Bifidos""","true","0","1","105","3458"
"""Desulfos""","true","0","1","55","3458"
"""Bacteroides""","true","0","1","5","3458"

"""Closts""",,,,"""Bifidos""",,,,"""Desulfos""",,,,"""Bacteroides"""
"x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?","x","y","color","pen down?"
"0","920","15","true","0","23561","105","true","0","69","55","true","0","5489","5","true"
"1","921","15","true","1","23642","105","true","1","69","55","true","1","5501","5","true"
"2","922","15","true","2","23689","105","true","2","70","55","true","2","5516","5","true"
"3","923","15","true","3","23755","105","true","3","72","55","true","3","5523","5","true"
"4","928","15","true","4","23798","105","true","4","72","55","true","4","5544","5","true"
"5","926","15","true","5","23850","105","true","5","73","55","true","5","5549","5","true"
"6","928","15","true","6","23891","105","true","6","73","55","true","6","5560","5","true"
"7","933","15","true","7","23933","105","true","7","73","55","true","7","5574","5","true"
"8","936","15","true","8","23971","105","true","8","73","55","true","8","5586","5","true"
"9","941","15","true","9","24011","105","true","9","72","55","true","9","5592","5","true"
"10","941","15","true","10","24041","105","true","10","72","55","true","10","5598","5","true"
"11","947","15","true","11","24075","105","true","11","72","55","true","11","5604","5","true"
"12","947","15","true","12","24111","105","true","12","72","55","true","12","5608","5","true"
"13","946","15","true","13","24140","105","true","13","72","55","true","13","5613","5","true"
"14","948","15","true","14","24163","105","true","14","72","55","true","14","5626","5","true"
"15","949","15","true","15","24189","105","true","15","72","55","true","15","5626","5","true"
"16","951","15","true","16","24207","105","true","16","72","55","true","16","5630","5","true"
"17","955","15","true","17","24253","105","true","17","71","55","true","17","5643","5","true"
"18","952","15","true","18","24267","105","true","18","70","55","true","18","5646","5","true"
"19","951","15","true","19","24283","105","true","19","70","55","true","19","5656","5","true"
"20","950","15","true","20","24310","105","true","20","71","55","true","20","5658","5","true"
"21","947","15","true","21","24328","105","true","21","71","55","true","21","5663","5","true"
"22","947","15","true","22","24354","105","true","22","72","55","true","22","5675","5","true"
"23","949","15","true","23","24365","105","true","23","71","55","true","23","5683","5","true"
"24","952","15","true","24","24383","105","true","24","71","55","true","24","5693","5","true"
"25","953","15","true","25","24409","105","true","25","71","55","true","25","5697","5","true"
"26","952","15","true","26","24444","105","true","26","72","55","true","26","5698","5","true"
"27","952","15","true","27","24463","105","true","27","72","55","true","27","5706","5","true"
"28","955","15","true","28","24472","105","true","28","73","55","true","28","5710","5","true"
"29","961","15","true","29","24475","105","true","29","73","55","true","29","5712","5","true"
"30","960","15","true","30","24495","105","true","30","73","55","true","30","5722","5","true"
"31","960","15","true","31","24508","105","true","31","73","55","true","31","5720","5","true"
"32","958","15","true","32","24527","105","true","32","73","55","true","32","5724","5","true"
"33","961","15","true","33","24541","105","true","33","72","55","true","33","5731","5","true"
"34","958","15","true","34","24575","105","true","34","72","55","true","34","5733","5","true"
"35","957","15","true","35","24590","105","true","35","72","55","true","35","5734","5","true"
"36","957","15","true","36","24611","105","true","36","72","55","true","36","5740","5","true"
"37","955","15","true","37","24620","105","true","37","72","55","true","37","5742","5","true"
"38","958","15","true","38","24625","105","true","38","70","55","true","38","5741","5","true"
"39","957","15","true","39","24645","105","true","39","70","55","true","39","5752","5","true"
"40","958","15","true","40","24661","105","true","40","69","55","true","40","5747","5","true"
"41","960","15","true","41","24671","105","true","41","69","55","true","41","5756","5","true"
"42","959","15","true","42","24686","105","true","42","69","55","true","42","5760","5","true"
"43","959","15","true","43","24706","105","true","43","69","55","true","43","5767","5","true"
"44","959","15","true","44","24699","105","true","44","69","55","true","44","5765","5","true"
"45","958","15","true","45","24698","105","true","45","69","55","true","45","5773","5","true"
"46","957","15","true","46","24713","105","true","46","67","55","true","46","5774","5","true"
"47","959","15","true","47","24726","105","true","47","67","55","true","47","5777","5","true"
"48","960","15","true","48","24745","105","true","48","67","55","true","48","5777","5","true"
"49","960","15","true","49","24767","105","true","49","70","55","true","49","5775","5","true"
"50","965","15","true","50","24781","105","true","50","70","55","true","50","5785","5","true"
"51","965","15","true","51","24799","105","true","51","70","55","true","51","5787","5","true"
"52","965","15","true","52","24817","105","true","52","70","55","true","52","5793","5","true"
"53","966","15","true","53","24826","105","true","53","70","55","true","53","5794","5","true"
"54","969","15","true","54","24846","105","true","54","71","55","true","54","5801","5","true"
"55","972","15","true","55","24848","105","true","55","72","55","true","55","5808","5","true"
"56","970","15","true","56","24859","105","true","56","72","55","true","56","5804","5","true"
"57","976","15","true","57","24871","105","true","57","73","55","true","57","5809","5","true"
"58","978","15","true","58","24880","105","true","58","73","55","true","58","5815","5","true"
"59","978","15","true","59","24895","105","true","59","73","55","true","59","5823","5","true"
"60","980","15","true","60","24898","105","true","60","73","55","true","60","5825","5","true"
"61","984","15","true","61","24897","105","true","61","73","55","true","61","5824","5","true"
"62","984","15","true","62","24920","105","true","62","73","55","true","62","5836","5","true"
"63","983","15","true","63","24911","105","true","63","73","55","true","63","5837","5","true"
"64","979","15","true","64","24926","105","true","64","74","55","true","64","5840","5","true"
"65","980","15","true","65","24942","105","true","65","75","55","true","65","5841","5","true"
"66","982","15","true","66","24946","105","true","66","75","55","true","66","5849","5","true"
"67","981","15","true","67","24964","105","true","67","75","55","true","67","5861","5","true"
"68","976","15","true","68","24962","105","true","68","75","55","true","68","5851","5","true"
"69","976","15","true","69","24955","105","true","69","75","55","true","69","5857","5","true"
"70","976","15","true","70","24941","105","true","70","76","55","true","70","5859","5","true"
"71","980","15","true","71","24950","105","true","71","76","55","true","71","5865","5","true"
"72","979","15","true","72","24956","105","true","72","77","55","true","72","5864","5","true"
"73","976","15","true","73","24959","105","true","73","77","55","true","73","5863","5","true"
"74","976","15","true","74","24969","105","true","74","77","55","true","74","5857","5","true"
"75","977","15","true","75","24964","105","true","75","77","55","true","75","5844","5","true"
"76","973","15","true","76","24984","105","true","76","77","55","true","76","5850","5","true"
"77","975","15","true","77","24997","105","true","77","77","55","true","77","5851","5","true"
"78","972","15","true","78","24993","105","true","78","77","55","true","78","5841","5","true"
"79","970","15","true","79","24992","105","true","79","77","55","true","79","5851","5","true"
"80","971","15","true","80","24991","105","true","80","77","55","true","80","5850","5","true"
"81","969","15","true","81","25020","105","true","81","77","55","true","81","5847","5","true"
"82","963","15","true","82","25027","105","true","82","75","55","true","82","5843","5","true"
"83","962","15","true","83","25020","105","true","83","75","55","true","83","5840","5","true"
"84","956","15","true","84","25029","105","true","84","75","55","true","84","5845","5","true"
"85","958","15","true","85","25028","105","true","85","75","55","true","85","5846","5","true"
"86","962","15","true","86","25025","105","true","86","75","55","true","86","5844","5","true"
"87","959","15","true","87","25037","105","true","87","75","55","true","87","5843","5","true"
"88","958","15","true","88","25034","105","true","88","77","55","true","88","5850","5","true"
"89","956","15","true","89","25013","105","true","89","77","55","true","89","5837","5","true"
"90","956","15","true","90","25032","105","true","90","77","55","true","90","5844","5","true"
"91","956","15","true","91","25040","105","true","91","77","55","true","91","5852","5","true"
"92","954","15","true","92","25031","105","true","92","76","55","true","92","5859","5","true"
"93","951","15","true","93","25039","105","true","93","77","55","true","93","5852","5","true"
"94","952","15","true","94","25050","105","true","94","77","55","true","94","5852","5","true"
"95","953","15","true","95","25048","105","true","95","78","55","true","95","5861","5","true"
"96","955","15","true","96","25048","105","true","96","78","55","true","96","5855","5","true"
"97","952","15","true","97","25040","105","true","97","78","55","true","97","5855","5","true"
"98","947","15","true","98","25049","105","true","98","78","55","true","98","5836","5","true"
"99","946","15","true","99","25046","105","true","99","78","55","true","99","5832","5","true"
"100","945","15","true","100","25032","105","true","100","78","55","true","100","5825","5","true"
"101","951","15","true","101","25016","105","true","101","78","55","true","101","5821","5","true"
"102","955","15","true","102","25012","105","true","102","79","55","true","102","5817","5","true"
"103","955","15","true","103","25015","105","true","103","79","55","true","103","5807","5","true"
"104","953","15","true","104","25005","105","true","104","79","55","true","104","5795","5","true"
"105","958","15","true","105","24991","105","true","105","79","55","true","105","5792","5","true"
"106","958","15","true","106","24975","105","true","106","79","55","true","106","5800","5","true"
"107","957","15","true","107","24969","105","true","107","77","55","true","107","5796","5","true"
"108","959","15","true","108","24978","105","true","108","78","55","true","108","5802","5","true"
"109","963","15","true","109","24955","105","true","109","78","55","true","109","5802","5","true"
"110","963","15","true","110","24930","105","true","110","78","55","true","110","5793","5","true"
"111","961","15","true","111","24918","105","true","111","78","55","true","111","5797","5","true"
"112","959","15","true","112","24895","105","true","112","78","55","true","112","5793","5","true"
"113","959","15","true","113","24891","105","true","113","78","55","true","113","5792","5","true"
"114","957","15","true","114","24892","105","true","114","78","55","true","114","5795","5","true"
"115","957","15","true","115","24884","105","true","115","79","55","true","115","5797","5","true"
"116","955","15","true","116","24868","105","true","116","80","55","true","116","5793","5","true"
"117","951","15","true","117","24839","105","true","117","80","55","true","117","5789","5","true"
"118","947","15","true","118","24817","105","true","118","80","55","true","118","5793","5","true"
"119","945","15","true","119","24819","105","true","119","80","55","true","119","5792","5","true"
"120","945","15","true","120","24796","105","true","120","80","55","true","120","5798","5","true"
"121","947","15","true","121","24780","105","true","121","80","55","true","121","5802","5","true"
"122","948","15","true","122","24786","105","true","122","80","55","true","122","5798","5","true"
"123","942","15","true","123","24791","105","true","123","80","55","true","123","5795","5","true"
"124","940","15","true","124","24784","105","true","124","79","55","true","124","5798","5","true"
"125","939","15","true","125","24757","105","true","125","79","55","true","125","5795","5","true"
"126","939","15","true","126","24741","105","true","126","79","55","true","126","5800","5","true"
"127","941","15","true","127","24732","105","true","127","79","55","true","127","5803","5","true"
"128","942","15","true","128","24750","105","true","128","79","55","true","128","5797","5","true"
"129","940","15","true","129","24727","105","true","129","79","55","true","129","5799","5","true"
"130","936","15","true","130","24721","105","true","130","78","55","true","130","5788","5","true"
"131","932","15","true","131","24694","105","true","131","79","55","true","131","5789","5","true"
"132","933","15","true","132","24674","105","true","132","80","55","true","132","5787","5","true"
"133","934","15","true","133","24667","105","true","133","80","55","true","133","5785","5","true"
"134","933","15","true","134","24654","105","true","134","80","55","true","134","5782","5","true"
"135","930","15","true","135","24629","105","true","135","80","55","true","135","5790","5","true"
"136","930","15","true","136","24608","105","true","136","80","55","true","136","5788","5","true"
"137","927","15","true","137","24589","105","true","137","80","55","true","137","5782","5","true"
"138","925","15","true","138","24575","105","true","138","80","55","true","138","5771","5","true"
"139","921","15","true","139","24566","105","true","139","80","55","true","139","5756","5","true"
"140","918","15","true","140","24529","105","true","140","81","55","true","140","5739","5","true"
"141","918","15","true","141","24526","105","true","141","80","55","true","141","5736","5","true"
"142","915","15","true","142","24512","105","true","142","80","55","true","142","5743","5","true"
"143","908","15","true","143","24507","105","true","143","80","55","true","143","5737","5","true"
"144","908","15","true","144","24472","105","true","144","81","55","true","144","5733","5","true"
"145","906","15","true","145","24466","105","true","145","81","55","true","145","5731","5","true"
"146","906","15","true","146","24447","105","true","146","80","55","true","146","5735","5","true"
"147","904","15","true","147","24421","105","true","147","80","55","true","147","5724","5","true"
"148","900","15","true","148","24404","105","true","148","80","55","true","148","5717","5","true"
"149","898","15","true","149","24394","105","true","149","80","55","true","149","5699","5","true"
"150","893","15","true","150","24368","105","true","150","80","55","true","150","5690","5","true"
"151","892","15","true","151","24340","105","true","151","80","55","true","151","5684","5","true"
"152","893","15","true","152","24335","105","true","152","80","55","true","152","5673","5","true"
"153","895","15","true","153","24308","105","true","153","81","55","true","153","5667","5","true"
"154","893","15","true","154","24260","105","true","154","81","55","true","154","5660","5","true"
"155","890","15","true","155","24237","105","true","155","80","55","true","155","5656","5","true"
"156","889","15","true","156","24203","105","true","156","80","55","true","156","5648","5","true"
"157","892","15","true","157","24179","105","true","157","81","55","true","157","5645","5","true"
"158","889","15","true","158","24190","105","true","158","81","55","true","158","5636","5","true"
"159","887","15","true","159","24157","105","true","159","82","55","true","159","5633","5","true"
"160","887","15","true","160","24129","105","true","160","82","55","true","160","5613","5","true"
"161","885","15","true","161","24083","105","true","161","83","55","true","161","5617","5","true"
