"Time","Closts","Bifidos","Desulfos","Bacteroides"
0,922,23563,71,5491
1,924,23629,72,5501
2,925,23694,72,5510
3,926,23753,72,5522
4,929,23802,72,5534
5,930,23852,72,5551
6,934,23911,72,5551
7,932,23949,72,5564
8,938,23986,72,5565
9,940,24020,72,5569
10,941,24031,72,5578
11,940,24073,72,5587
12,941,24109,73,5592
13,941,24121,73,5593
14,940,24139,74,5594
15,934,24152,74,5602
16,935,24193,73,5609
17,936,24192,73,5613
18,940,24220,73,5620
19,940,24231,73,5627
20,939,24281,72,5636
21,940,24280,72,5638
22,939,24320,73,5641
23,935,24325,73,5645
24,937,24333,74,5647
25,938,24363,74,5646
26,937,24367,74,5645
27,939,24385,76,5645
28,940,24396,76,5647
29,946,24412,76,5648
30,951,24426,76,5652
31,955,24448,76,5652
32,956,24450,75,5655
33,956,24476,76,5666
34,958,24495,76,5667
35,957,24521,76,5678
36,958,24539,76,5680
37,954,24560,77,5683
38,952,24581,77,5677
39,952,24597,78,5675
40,953,24603,78,5677
41,955,24596,78,5676
42,955,24621,78,5673
43,956,24644,77,5677
44,957,24664,77,5680
45,960,24655,77,5689
46,960,24675,78,5699
47,959,24711,78,5703
48,961,24703,78,5706
49,961,24718,76,5703
50,962,24721,76,5711
51,957,24743,76,5707
52,958,24757,76,5711
53,959,24763,76,5715
54,958,24768,76,5712
55,958,24771,76,5704
56,960,24788,76,5700
57,960,24804,76,5702
58,962,24822,75,5716
59,960,24812,75,5716
60,961,24838,75,5721
61,964,24847,75,5729
62,966,24866,75,5722
63,962,24894,76,5719
64,959,24901,76,5730
65,961,24898,76,5717
66,962,24914,76,5731
67,963,24924,76,5732
68,965,24922,75,5725
69,964,24918,75,5725
70,963,24924,75,5723
71,966,24941,75,5729
72,968,24942,74,5740
73,967,24948,74,5741
74,969,24950,74,5722
75,971,24939,74,5711
76,972,24955,74,5715
77,978,24961,74,5718
78,979,24975,75,5719
79,978,24967,75,5732
80,977,24968,76,5735
81,983,24964,76,5730
82,986,24945,76,5726
83,983,24933,76,5726
84,984,24956,76,5731
85,987,24952,76,5725
86,984,24984,74,5729
87,983,24997,74,5742
88,984,25008,74,5741
89,984,25014,74,5742
90,983,25004,73,5746
91,984,25012,73,5749
92,982,25024,73,5740
93,983,25017,71,5748
94,985,25009,70,5739
95,982,24998,70,5737
96,981,25002,70,5743
97,983,24998,70,5743
98,983,24992,70,5746
99,983,24973,70,5750
100,985,24984,71,5747
101,985,24972,71,5749
102,988,24947,71,5744
103,985,24931,71,5743
104,981,24921,71,5736
105,982,24922,71,5730
106,982,24916,71,5732
107,978,24937,71,5739
108,976,24931,71,5742
109,974,24901,71,5732
110,972,24894,71,5731
111,971,24871,71,5728
112,974,24862,71,5734
113,976,24843,70,5732
114,973,24836,70,5734
115,975,24826,70,5725
116,974,24826,70,5719
117,978,24820,70,5717
118,978,24809,70,5723
119,976,24791,70,5722
120,977,24774,70,5709
121,980,24756,71,5710
122,978,24725,71,5715
123,976,24704,73,5708
124,975,24689,74,5718
125,973,24670,74,5710
126,972,24637,74,5702
127,972,24629,74,5702
128,967,24610,75,5705
129,963,24595,75,5699
130,958,24575,74,5692
131,959,24568,74,5681
132,959,24557,74,5676
133,954,24540,74,5679
134,955,24534,75,5681
135,957,24512,75,5674
136,956,24486,75,5671
137,954,24469,75,5669
138,951,24459,75,5662
139,951,24443,75,5661
140,951,24412,75,5658
141,951,24399,75,5663
142,952,24409,75,5662
143,953,24389,75,5659
144,954,24399,75,5664
145,956,24400,76,5659
146,956,24409,75,5662
147,956,24375,76,5670
148,952,24362,76,5667
149,952,24328,76,5665
150,951,24285,76,5660
151,955,24257,78,5648
152,955,24249,77,5645
153,959,24203,78,5639
154,959,24188,78,5630
155,960,24154,77,5637
156,960,24139,77,5636
157,958,24126,78,5633
158,961,24084,78,5626
159,964,24050,78,5618
160,964,24026,79,5605
161,965,24021,79,5592
162,964,23989,80,5586
163,965,23959,80,5581
164,963,23936,80,5565
165,963,23904,80,5567
166,959,23892,80,5569
167,953,23862,80,5570
168,953,23830,80,5558
169,947,23830,80,5552
170,955,23819,81,5545
171,948,23816,81,5540
172,947,23784,81,5532
173,943,23760,81,5526
174,941,23736,81,5518
